iter,train_mse
656,0.571972
657,0.57197
658,0.571967
659,0.571965
660,0.571962
661,0.57196
662,0.571958
663,0.571955
664,0.571953
665,0.57195
666,0.571948
667,0.571945
668,0.571943
669,0.571941
670,0.571938
671,0.571936
672,0.571933
673,0.571931
674,0.571929
675,0.571926
676,0.571924
677,0.571921
678,0.571919
679,0.571917
680,0.571914
681,0.571912
682,0.571909
683,0.571907
684,0.571905
685,0.571902
686,0.5719
687,0.571897
688,0.571895
689,0.571893
690,0.57189
691,0.571888
692,0.571886
693,0.571883
694,0.571881
695,0.571879
696,0.571876
697,0.571874
698,0.571872
699,0.571869
700,0.571867
701,0.571865
702,0.571862
703,0.57186
704,0.571858
705,0.571855
706,0.571853
707,0.571851
708,0.571848
709,0.571846
710,0.571844
711,0.571841
712,0.571839
713,0.571837
714,0.571834
715,0.571832
716,0.57183
717,0.571827
718,0.571825
719,0.571823
720,0.571821
721,0.571818
722,0.571816
723,0.571814
724,0.571811
725,0.571809
726,0.571807
727,0.571805
728,0.571802
729,0.5718
730,0.571798
731,0.571795
732,0.571793
733,0.571791
734,0.571789
735,0.571786
736,0.571784
737,0.571782
738,0.57178
739,0.571777
740,0.571775
741,0.571773
742,0.571771
743,0.571768
744,0.571766
745,0.571764
746,0.571762
747,0.571759
748,0.571757
749,0.571755
750,0.571753
751,0.57175
752,0.571748
753,0.571746
754,0.571744
755,0.571742
756,0.571739
757,0.571737
758,0.571735
759,0.571733
760,0.57173
761,0.571728
762,0.571726
763,0.571724
764,0.571722
765,0.571719
766,0.571717
767,0.571715
768,0.571713
769,0.571711
770,0.571708
771,0.571706
772,0.571704
773,0.571702
774,0.5717
775,0.571698
776,0.571695
777,0.571693
778,0.571691
779,0.571689
780,0.571687
781,0.571685
782,0.571682
783,0.57168
784,0.571678
785,0.571676
786,0.571674
787,0.571672
788,0.571669
789,0.571667
790,0.571665
791,0.571663
792,0.571661
793,0.571659
794,0.571657
795,0.571654
796,0.571652
797,0.57165
798,0.571648
799,0.571646
800,0.571644
801,0.571642
802,0.571639
803,0.571637
804,0.571635
805,0.571633
806,0.571631
807,0.571629
808,0.571627
809,0.571625
810,0.571622
811,0.57162
812,0.571618
813,0.571616
814,0.571614
815,0.571612
816,0.57161
817,0.571608
818,0.571606
819,0.571604
820,0.571601
821,0.571599
822,0.571597
823,0.571595
824,0.571593
825,0.571591
826,0.571589
827,0.571587
828,0.571585
829,0.571583
830,0.571581
831,0.571579
832,0.571577
833,0.571574
834,0.571572
835,0.57157
836,0.571568
837,0.571566
838,0.571564
839,0.571562
840,0.57156
841,0.571558
842,0.571556
843,0.571554
844,0.571552
845,0.57155
846,0.571548
847,0.571546
848,0.571544
849,0.571542
850,0.57154
851,0.571538
852,0.571535
853,0.571533
854,0.571531
855,0.571529
856,0.571527
857,0.571525
858,0.571523
859,0.571521
860,0.571519
861,0.571517
862,0.571515
863,0.571513
864,0.571511
865,0.571509
866,0.571507
867,0.571505
868,0.571503
869,0.571501
870,0.571499
871,0.571497
872,0.571495
873,0.571493
874,0.571491
875,0.571489
876,0.571487
877,0.571485
878,0.571483
879,0.571481
880,0.571479
881,0.571477
882,0.571475
883,0.571473
884,0.571471
885,0.571469
886,0.571467
887,0.571465
888,0.571463
889,0.571461
890,0.57146
891,0.571458
892,0.571456
893,0.571454
894,0.571452
895,0.57145
896,0.571448
897,0.571446
898,0.571444
899,0.571442
900,0.57144
901,0.571438
902,0.571436
903,0.571434
904,0.571432
905,0.57143
906,0.571428
907,0.571426
908,0.571424
909,0.571422
910,0.571421
911,0.571419
912,0.571417
913,0.571415
914,0.571413
915,0.571411
916,0.571409
917,0.571407
918,0.571405
919,0.571403
920,0.571401
921,0.571399
922,0.571398
923,0.571396
924,0.571394
925,0.571392
926,0.57139
927,0.571388
928,0.571386
929,0.571384
930,0.571382
931,0.57138
932,0.571378
933,0.571377
934,0.571375
935,0.571373
936,0.571371
937,0.571369
938,0.571367
939,0.571365
940,0.571363
941,0.571362
942,0.57136
943,0.571358
944,0.571356
945,0.571354
946,0.571352
947,0.57135
948,0.571348
949,0.571347
950,0.571345
951,0.571343
952,0.571341
953,0.571339
954,0.571337
955,0.571335
956,0.571334
957,0.571332
958,0.57133
959,0.571328
960,0.571326
961,0.571324
962,0.571322
963,0.571321
964,0.571319
965,0.571317
966,0.571315
967,0.571313
968,0.571311
969,0.57131
970,0.571308
971,0.571306
972,0.571304
973,0.571302
974,0.5713
975,0.571299
976,0.571297
977,0.571295
978,0.571293
979,0.571291
980,0.57129
981,0.571288
982,0.571286
983,0.571284
984,0.571282
985,0.57128
986,0.571279
987,0.571277
988,0.571275
989,0.571273
990,0.571271
991,0.57127
992,0.571268
993,0.571266
994,0.571264
995,0.571262
996,0.571261
997,0.571259
998,0.571257
999,0.571255
1000,0.571254
1001,0.571252
1002,0.57125
